name,link,remote_testing,adaptive_irt,test_type
N/A,N/A,No,No,N/A
Account Manager Solution,/solutions/products/product-catalog/view/account-manager-solution/,No,No,N/A
Administrative Professional - Short Form,/solutions/products/product-catalog/view/administrative-professional-short-form/,No,No,N/A
Agency Manager Solution,/solutions/products/product-catalog/view/agency-manager-solution/,No,No,N/A
Apprentice + 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,N/A
Apprentice 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,N/A
Bank Administrative Assistant - Short Form,/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,N/A
Bank Collections Agent - Short Form,/solutions/products/product-catalog/view/bank-collections-agent-short-form/,No,No,N/A
Bank Operations Supervisor - Short Form,/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,N/A
Bilingual Spanish Reservation Agent Solution,/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,N/A
"Bookkeeping, Accounting, Auditing Clerk Short Form",/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,N/A
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,No,No,N/A
Cashier Solution,/solutions/products/product-catalog/view/cashier-solution/,No,No,N/A
N/A,N/A,No,No,N/A
Global Skills Development Report,/solutions/products/product-catalog/view/global-skills-development-report/,No,No,N/A
.NET Framework 4.5,/solutions/products/product-catalog/view/net-framework-4-5/,No,No,N/A
.NET MVC (New),/solutions/products/product-catalog/view/net-mvc-new/,No,No,N/A
.NET MVVM (New),/solutions/products/product-catalog/view/net-mvvm-new/,No,No,N/A
.NET WCF (New),/solutions/products/product-catalog/view/net-wcf-new/,No,No,N/A
.NET WPF (New),/solutions/products/product-catalog/view/net-wpf-new/,No,No,N/A
.NET XAML (New),/solutions/products/product-catalog/view/net-xaml-new/,No,No,N/A
Accounts Payable (New),/solutions/products/product-catalog/view/accounts-payable-new/,No,No,N/A
Accounts Payable Simulation (New),/solutions/products/product-catalog/view/accounts-payable-simulation-new/,No,No,N/A
Accounts Receivable (New),/solutions/products/product-catalog/view/accounts-receivable-new/,No,No,N/A
Accounts Receivable Simulation (New),/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,No,No,N/A
ADO.NET (New),/solutions/products/product-catalog/view/ado-net-new/,No,No,N/A
